,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
84,DC-DIST7-1,Ethernet7/16,DC-ACS5-1_MGMT0,connected,routed,full,a-1000,1000base-T
85,DC-DIST7-1,Ethernet7/17,--,connected,trunk,full,1000,1000base-SX
86,DC-DIST7-1,Ethernet7/18,CALAX04-DC1AS-02A_mgmt0,connected,500,full,a-1000,1000base-T
87,DC-DIST7-1,Ethernet7/19,CALAX04-EM1PS-01A HW MGMT,connected,500,full,a-1000,1000base-T
88,DC-DIST7-1,Ethernet7/20,BL-1142L,connected,500,full,a-1000,1000base-T
89,DC-DIST7-1,Ethernet7/21,CALAX04-EM1DS-01A MGMT-VPC-KL,connected,500,full,a-1000,1000base-T
90,DC-DIST7-1,Ethernet7/24,CALA-MOB-NetScaler-DMZ-8-13-1 Gi0/1 MGMT,connected,500,full,a-1000,1000base-T
91,DC-DIST7-1,Ethernet7/25,downlink to MOB-PDU-MON-SW1,connected,trunk,full,a-1000,1000base-SX
92,DC-DIST7-1,Ethernet7/26,DC-EDGE7-1:Eth7/36 Marketing VLAN,connected,733,full,a-1000,1000base-SX
93,DC-DIST7-1,Ethernet7/27,DC-EDGE7-1:Eth7/37 Marketing VLAN,connected,733,full,a-1000,1000base-SX
94,DC-DIST7-1,Ethernet7/28,***INSIDE INT- WC CUBE Router***,connected,712,full,a-1000,1000base-SX
95,DC-DIST7-1,Ethernet7/31,***OUTSIDE INT- WC CUBE Router***,connected,66,full,a-1000,1000base-SX
96,DC-DIST7-1,Ethernet7/33,DC-ACE1 Eth3 (Failover Int),disabled,trunk,auto,auto,1000base-T
97,DC-DIST7-1,Ethernet7/34,DC-ACE1 Eth4 (Management Int),disabled,200,auto,auto,1000base-T
98,DC-DIST7-1,Ethernet7/39,nuc-paramountlot-cm3 (Kentik),connected,808,full,a-1000,1000base-T
99,DC-DIST7-1,Ethernet7/42,CALAX04-MOBCS-01A,connected,500,full,a-1000,1000base-T
100,DC-DIST7-1,Ethernet7/43,BL-582L,connected,500,full,a-1000,1000base-T
101,DC-DIST7-1,Ethernet7/45,CALAX04-EM1IP-03A MGMT Eth1/8,connected,500,full,a-1000,1000base-T
102,DC-DIST7-1,Ethernet7/46,CALAX04-DC1AS-01A_mgmt0,notconnect,500,auto,auto,1000base-T
103,DC-DIST7-1,Ethernet7/47,CALAX04-EM1FW-01A-Container MGMT,connected,500,full,a-1000,1000base-T
104,DC-DIST7-1,Ethernet7/48,CALAX04-EM1ED-01A MGMT,connected,500,full,a-1000,1000base-T
105,DC-DIST7-1,Ethernet8/1,us-west-1b-ucs-mtl1 FI-A,connected,trunk,full,10G,10Gbase-SR
106,DC-DIST7-1,Ethernet8/2,us-west-1b-ucs-mtl1 FI-B,connected,trunk,full,10G,10Gbase-SR
107,DC-DIST7-1,Ethernet8/3,us-west-1b-ucs-mtl1 FI-A,connected,trunk,full,10G,10Gbase-SR
108,DC-DIST7-1,Ethernet8/4,us-west-1b-ucs-mtl1 FI-B,connected,trunk,full,10G,10Gbase-SR
109,DC-DIST7-1,Ethernet8/5,--,sfpAbsent,routed,auto,auto,--
110,DC-DIST7-1,Ethernet8/6,CALAX04-EM1PS-01A-FTD-MGMT,connected,500,full,10G,10Gbase-SR
111,DC-DIST7-1,Ethernet8/7,--,sfpAbsent,routed,auto,auto,--
112,DC-DIST7-1,Ethernet8/8,CALA-MOB-VIA-FTD-FW1-1-MGMT,connected,500,full,10G,10Gbase-SR
113,DC-DIST7-1,Ethernet8/9,CALAX04-EM1PE-01A,connected,routed,full,10G,10Gbase-SR
114,DC-DIST7-1,Ethernet8/11,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
115,DC-DIST7-1,Ethernet8/13,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
116,DC-DIST7-1,Ethernet8/15,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
117,DC-DIST7-1,Ethernet9/1,VNS 5700 DM3,notconnect,851,auto,auto,10Gbase-SR
118,DC-DIST7-1,Ethernet9/2,VNS 5700 DM2,notconnect,851,auto,auto,10Gbase-SR
119,DC-DIST7-1,Ethernet9/3,VNS 5700 SPA,notconnect,857,auto,auto,10Gbase-SR
120,DC-DIST7-1,Ethernet9/4,--,connected,trunk,full,10G,10Gbase-LR
121,DC-DIST7-1,Ethernet9/5,--,connected,trunk,full,10G,10Gbase-SR
122,DC-DIST7-1,Ethernet9/6,--,connected,trunk,full,10G,10Gbase-SR
123,DC-DIST7-1,Ethernet9/7,--,sfpAbsent,trunk,auto,auto,--
124,DC-DIST7-1,Ethernet9/8,--,sfpAbsent,routed,auto,auto,--
125,DC-DIST7-1,Ethernet9/10,--,sfpAbsent,routed,auto,auto,--
126,DC-DIST7-1,Ethernet9/12,--,connected,trunk,full,10G,10Gbase-SR
127,DC-DIST7-1,Ethernet9/14,MARKED FOR MIGRATION PATH,sfpAbsent,routed,auto,auto,--
128,DC-DIST7-1,Ethernet9/16,MARKED FOR MIGRATION PATH,sfpAbsent,routed,auto,auto,--
129,DC-DIST7-1,Ethernet9/17,*** DC-ACS5-1 - Eth1/3,connected,trunk,full,10G,10Gbase-SR
130,DC-DIST7-1,Ethernet9/18,CALAX04-EM1DL-01A,connected,trunk,full,10G,10Gbase-SR
131,DC-DIST7-1,Ethernet9/19,--,sfpAbsent,routed,auto,auto,--
132,DC-DIST7-1,Ethernet9/20,CALAX04-EM1DL-01B,connected,trunk,full,10G,10Gbase-SR
133,DC-DIST7-1,Ethernet9/21,DC-EDGE7-1:Eth2/31,connected,trunk,full,10G,10Gbase-SR
134,DC-DIST7-1,Ethernet9/22,--,sfpAbsent,routed,auto,auto,--
135,DC-DIST7-1,Ethernet9/23,To DC-SAS4 Ten1/2 2-25-14 CN,connected,trunk,full,10G,10Gbase-SR
136,DC-DIST7-1,Ethernet9/24,Link to WAL-WWTO-SW1,notconnect,trunk,auto,auto,10Gbase-LR
137,DC-DIST7-1,Ethernet9/25,PARAMOUNT-ISIS,sfpAbsent,178,auto,auto,--
138,DC-DIST7-1,Ethernet9/26,UPLINK to NEW-DC-AGG-SW2,connected,trunk,full,10G,10Gbase-SR
139,DC-DIST7-1,Ethernet9/27,UCS 4-8 Link #1 (Fabric A),connected,trunk,full,10G,10Gbase-SR
140,DC-DIST7-1,Ethernet9/28,UCS 4-8 Link #1 (Fabric B),connected,trunk,full,10G,10Gbase-SR
141,DC-DIST7-1,Ethernet9/29,--,sfpAbsent,trunk,auto,auto,--
142,DC-DIST7-1,Ethernet9/30,UPLINK to DC-AGG-SW2,notconnect,trunk,auto,auto,10Gbase-SR
143,DC-DIST7-1,Ethernet9/31,Link to UCS14-9-A,connected,trunk,full,10G,10Gbase-SR
144,DC-DIST7-1,Ethernet9/32,Link to UCS14-9-B,connected,trunk,full,10G,10Gbase-SR
145,DC-DIST7-1,Ethernet10/1,--,connected,trunk,full,10G,10Gbase-SR
146,DC-DIST7-1,Ethernet10/2,--,connected,trunk,full,10G,10Gbase-SR
147,DC-DIST7-1,Ethernet10/3,--,connected,trunk,full,10G,10Gbase-SR
148,DC-DIST7-1,Ethernet10/4,--,connected,trunk,full,10G,10Gbase-SR
149,DC-DIST7-1,Ethernet10/5,--,sfpAbsent,routed,auto,auto,--
150,DC-DIST7-1,Ethernet10/6,--,sfpAbsent,routed,auto,auto,--
151,DC-DIST7-1,Ethernet10/7,--,sfpAbsent,routed,auto,auto,--
152,DC-DIST7-1,Ethernet10/8,--,sfpAbsent,routed,auto,auto,--
153,DC-DIST7-1,Ethernet10/9,--,connected,trunk,full,10G,10Gbase-SR
154,DC-DIST7-1,Ethernet10/10,--,connected,trunk,full,10G,10Gbase-SR
155,DC-DIST7-1,Ethernet10/11,*CHG01080344: Moved to Eth3/26*,sfpAbsent,routed,auto,auto,--
156,DC-DIST7-1,Ethernet10/12,*CHG01080344: Moved to Eth3/28*,sfpAbsent,routed,auto,auto,--
157,DC-DIST7-1,Ethernet10/13,--,connected,trunk,full,10G,10Gbase-SR
158,DC-DIST7-1,Ethernet10/14,--,connected,trunk,full,10G,10Gbase-SR
159,DC-DIST7-1,Ethernet10/15,--,connected,trunk,full,10G,10Gbase-SR
160,DC-DIST7-1,Ethernet10/16,--,connected,trunk,full,10G,10Gbase-SR
161,DC-DIST7-1,Ethernet10/17,--,notconnect,27,auto,auto,10Gbase-SR
162,DC-DIST7-1,Ethernet10/19,--,connected,trunk,full,10G,10Gbase-SR
163,DC-DIST7-1,Ethernet10/21,--,connected,trunk,full,10G,10Gbase-SR
164,DC-DIST7-1,Ethernet10/23,--,sfpAbsent,trunk,auto,auto,--
165,DC-DIST7-1,Ethernet10/25,--,sfpAbsent,trunk,auto,auto,--
166,DC-DIST7-1,Ethernet10/26,--,sfpAbsent,trunk,auto,auto,--
167,DC-DIST7-1,Ethernet10/27,--,sfpAbsent,trunk,auto,auto,--
168,DC-DIST7-1,Ethernet10/28,--,sfpAbsent,trunk,auto,auto,--
169,DC-DIST7-1,Ethernet10/29,us-west-1b-ucs-sap1-a,connected,trunk,full,10G,10Gbase-SR
170,DC-DIST7-1,Ethernet10/30,us-west-1b-ucs-sap1-a,connected,trunk,full,10G,10Gbase-SR
171,DC-DIST7-1,Ethernet10/31,us-west-1b-ucs-sap1-b,connected,trunk,full,10G,10Gbase-SR
172,DC-DIST7-1,Ethernet10/32,us-west-1b-ucs-sap1-b,connected,trunk,full,10G,10Gbase-SR
173,DC-DIST7-1,port-channel1,vPC Peer Link to DC-Dist7-2,connected,trunk,full,10G,--
174,DC-DIST7-1,port-channel2,vPC Keep-Alive Link to DC-Dist7-2,connected,routed,full,a-1000,--
175,DC-DIST7-1,port-channel5,"*** Back-to-back vPC to DC-ACS5-1, DC-ACS5-2 ***",connected,trunk,full,10G,--
176,DC-DIST7-1,port-channel7,CALAX04-DC1AS-02A&B,connected,trunk,full,10G,--
177,DC-DIST7-1,port-channel10,VNx 5700 DM2 backup link,disabled,851,auto,auto,--
178,DC-DIST7-1,port-channel11,VNx 5700 DM3 backup link,disabled,851,auto,auto,--
179,DC-DIST7-1,port-channel12,VNS 5700 DM4,noOperMembers,851,auto,auto,--
180,DC-DIST7-1,port-channel15,UPLINK to DC-AGG-SW2,noOperMembers,trunk,auto,auto,--
181,DC-DIST7-1,port-channel17,UPLINK to DC-AGG-SW2,connected,trunk,full,10G,--
182,DC-DIST7-1,port-channel20,UCS 14-9 Link #1 (Fabric A),connected,trunk,full,10G,--
183,DC-DIST7-1,port-channel21,UCS 14-9 Link #2 (Fabric B),connected,trunk,full,10G,--
184,DC-DIST7-1,port-channel22,HED-SW1,noOperMembers,trunk,auto,auto,--
185,DC-DIST7-1,port-channel30,UCS 4-14 Link #1 (Fabric A),noOperMembers,trunk,auto,auto,--
