,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type,CDP,LLDP
68,CALAX04-DC1AS-01B,Ethernet111/1/1,--,disabled,1,auto,auto,100/1g,[],[]
69,CALAX04-DC1AS-01B,Ethernet111/1/2,--,disabled,1,auto,auto,100/1g,[],[]
70,CALAX04-DC1AS-01B,Ethernet111/1/3,--,disabled,1,auto,auto,100/1g,[],[]
71,CALAX04-DC1AS-01B,Ethernet111/1/4,--,disabled,1,auto,auto,100/1g,[],[]
72,CALAX04-DC1AS-01B,Ethernet111/1/5,--,disabled,1,auto,auto,100/1g,[],[]
73,CALAX04-DC1AS-01B,Ethernet111/1/6,--,disabled,1,auto,auto,100/1g,[],[]
74,CALAX04-DC1AS-01B,Ethernet111/1/7,--,disabled,1,auto,auto,100/1g,[],[]
75,CALAX04-DC1AS-01B,Ethernet111/1/8,--,disabled,1,auto,auto,100/1g,[],[]
76,CALAX04-DC1AS-01B,Ethernet111/1/9,--,disabled,1,auto,auto,100/1g,[],[]
77,CALAX04-DC1AS-01B,Ethernet111/1/10,--,disabled,1,auto,auto,100/1g,[],[]
78,CALAX04-DC1AS-01B,Ethernet111/1/11,--,disabled,1,auto,auto,100/1g,[],[]
79,CALAX04-DC1AS-01B,Ethernet111/1/12,--,disabled,1,auto,auto,100/1g,[],[]
80,CALAX04-DC1AS-01B,Ethernet111/1/13,--,disabled,1,auto,auto,100/1g,[],[]
81,CALAX04-DC1AS-01B,Ethernet111/1/14,--,disabled,1,auto,auto,100/1g,[],[]
82,CALAX04-DC1AS-01B,Ethernet111/1/15,--,disabled,1,auto,auto,100/1g,[],[]
83,CALAX04-DC1AS-01B,Ethernet111/1/16,--,disabled,1,auto,auto,100/1g,[],[]
84,CALAX04-DC1AS-01B,Ethernet111/1/17,--,disabled,1,auto,auto,100/1g,[],[]
85,CALAX04-DC1AS-01B,Ethernet111/1/18,--,disabled,1,auto,auto,100/1g,[],[]
86,CALAX04-DC1AS-01B,Ethernet111/1/19,--,disabled,1,auto,auto,100/1g,[],[]
87,CALAX04-DC1AS-01B,Ethernet111/1/20,--,disabled,1,auto,auto,100/1g,[],[]
88,CALAX04-DC1AS-01B,Ethernet111/1/21,--,disabled,1,auto,auto,100/1g,[],[]
89,CALAX04-DC1AS-01B,Ethernet111/1/22,--,disabled,1,auto,auto,100/1g,[],[]
90,CALAX04-DC1AS-01B,Ethernet111/1/23,--,disabled,1,auto,auto,100/1g,[],[]
91,CALAX04-DC1AS-01B,Ethernet111/1/24,--,disabled,1,auto,auto,100/1g,[],[]
92,CALAX04-DC1AS-01B,Ethernet111/1/25,--,disabled,1,auto,auto,100/1g,[],[]
93,CALAX04-DC1AS-01B,Ethernet111/1/26,--,disabled,1,auto,auto,100/1g,[],[]
94,CALAX04-DC1AS-01B,Ethernet111/1/27,--,disabled,1,auto,auto,100/1g,[],[]
95,CALAX04-DC1AS-01B,Ethernet111/1/28,--,disabled,1,auto,auto,100/1g,[],[]
96,CALAX04-DC1AS-01B,Ethernet111/1/29,--,disabled,1,auto,auto,100/1g,[],[]
97,CALAX04-DC1AS-01B,Ethernet111/1/30,--,disabled,1,auto,auto,100/1g,[],[]
98,CALAX04-DC1AS-01B,Ethernet111/1/31,--,disabled,1,auto,auto,100/1g,[],[]
99,CALAX04-DC1AS-01B,Ethernet111/1/32,--,disabled,1,auto,auto,100/1g,[],[]
100,CALAX04-DC1AS-01B,Ethernet111/1/33,--,disabled,1,auto,auto,100/1g,[],[]
101,CALAX04-DC1AS-01B,Ethernet111/1/34,--,disabled,1,auto,auto,100/1g,[],[]
102,CALAX04-DC1AS-01B,Ethernet111/1/35,--,disabled,1,auto,auto,100/1g,[],[]
103,CALAX04-DC1AS-01B,Ethernet111/1/36,--,disabled,1,auto,auto,100/1g,[],[]
104,CALAX04-DC1AS-01B,Ethernet111/1/37,--,disabled,1,auto,auto,100/1g,[],[]
105,CALAX04-DC1AS-01B,Ethernet111/1/38,--,disabled,1,auto,auto,100/1g,[],[]
106,CALAX04-DC1AS-01B,Ethernet111/1/39,--,disabled,1,auto,auto,100/1g,[],[]
107,CALAX04-DC1AS-01B,Ethernet111/1/40,--,disabled,1,auto,auto,100/1g,[],[]
108,CALAX04-DC1AS-01B,Ethernet111/1/41,--,disabled,1,auto,auto,100/1g,[],[]
109,CALAX04-DC1AS-01B,Ethernet111/1/42,--,disabled,1,auto,auto,100/1g,[],[]
110,CALAX04-DC1AS-01B,Ethernet111/1/43,--,disabled,1,auto,auto,100/1g,[],[]
111,CALAX04-DC1AS-01B,Ethernet111/1/44,--,disabled,1,auto,auto,100/1g,[],[]
112,CALAX04-DC1AS-01B,Ethernet111/1/45,--,disabled,1,auto,auto,100/1g,[],[]
113,CALAX04-DC1AS-01B,Ethernet111/1/46,--,disabled,1,auto,auto,100/1g,[],[]
114,CALAX04-DC1AS-01B,Ethernet111/1/47,--,disabled,1,auto,auto,100/1g,[],[]
115,CALAX04-DC1AS-01B,Ethernet111/1/48,--,disabled,1,auto,auto,100/1g,[],[]
