,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type,CDP_local_int,CDP_remote_device,CDP_remote_int,CDP_remote_platform,CDP_remote_capabilities,CDP_remote_ip,LLDP_local_port_id,LLDP_remote_chassis_id,LLDP_remote_port_id,LLDP_remote_port_description,LLDP_remote_system_name,LLDP_remote_system_description,LLDP_remote_system_capabilities,LLDP_remote_system_address,LLDP_remote_vlan_id
31,DC-ACS5-2,Ethernet1/31,to 10GFEX1-2 Cab9-4,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,DC-ACS5-2,Ethernet1/32,to 10GFEX1-2 Cab9-4,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,DC-ACS5-2,port-channel1,Cisco UCS lab ethernet uplinks,noOperMembers,trunk,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,DC-ACS5-2,port-channel5,*** Back-to-back vPC to DC-DIST7-1 & 2 ***,connected,trunk,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,DC-ACS5-2,port-channel10,--,connected,trunk,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,DC-ACS5-2,port-channel20,*** vPC to Digital Post ***,noOperMembers,trunk,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,DC-ACS5-2,port-channel21,Facility Automation Intermediary,noOperMembers,trunk,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,DC-ACS5-2,port-channel22,Port-channel 8 x 1G to SAPHVSQL Data,noOperMembers,791,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,DC-ACS5-2,port-channel23,FIDELISSENSORPARA2,noOperMembers,500,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,DC-ACS5-2,port-channel24,Port-channel 2 x 1G to SAPHVSQL-NEW Data,noOperMembers,821,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,DC-ACS5-2,port-channel25,Port-channel nxTSMp03,connected,821,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,DC-ACS5-2,port-channel31,Port-channel 4 x 1G backup to MSSQL7,noOperMembers,791,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,DC-ACS5-2,port-channel100,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,DC-ACS5-2,port-channel101,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,DC-ACS5-2,port-channel102,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,DC-ACS5-2,port-channel103,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,DC-ACS5-2,port-channel104,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,DC-ACS5-2,port-channel105,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,DC-ACS5-2,port-channel106,FEX1-4,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,DC-ACS5-2,port-channel107,FEX2-4,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,DC-ACS5-2,port-channel120,--,noOperMembers,1,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,DC-ACS5-2,port-channel122,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,DC-ACS5-2,port-channel123,--,noOperMembers,1,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,DC-ACS5-2,port-channel124,--,noOperMembers,1,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,DC-ACS5-2,port-channel125,--,noOperMembers,1,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,DC-ACS5-2,port-channel180,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,DC-ACS5-2,port-channel181,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
58,DC-ACS5-2,port-channel190,--,noOperMembers,721,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
59,DC-ACS5-2,port-channel200,Qumulo-connection-LACP,connected,trunk,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
60,DC-ACS5-2,port-channel300,Qumulo-connection-LACP,noOperMembers,trunk,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
61,DC-ACS5-2,port-channel500,--,noOperMembers,51,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
62,DC-ACS5-2,port-channel501,--,noOperMembers,50,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
63,DC-ACS5-2,port-channel502,--,noOperMembers,50,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
64,DC-ACS5-2,port-channel503,--,noOperMembers,51,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
65,DC-ACS5-2,port-channel504,--,noOperMembers,860,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
66,DC-ACS5-2,port-channel505,--,noOperMembers,821,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
67,DC-ACS5-2,port-channel516,MSBRSTSMPRXPD05,connected,860,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
68,DC-ACS5-2,port-channel517,MSBRSTSMPRXPD06,connected,860,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
69,DC-ACS5-2,port-channel518,MSBRSTSMPRXPD07,connected,860,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
70,DC-ACS5-2,port-channel1111,--,connected,trunk,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
71,DC-ACS5-2,mgmt0,--,connected,routed,full,1000,--,mgmt0,DC-DIST7-2,Ethernet7/17,N7K-C7010,Router Switch Supports-STP-Dispute,10.40.10.109,--,--,--,--,--,--,--,--,--
72,DC-ACS5-2,Ethernet100/1/1,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
73,DC-ACS5-2,Ethernet100/1/2,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
74,DC-ACS5-2,Ethernet100/1/3,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
75,DC-ACS5-2,Ethernet100/1/4,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
76,DC-ACS5-2,Ethernet100/1/5,Metadata Array,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
77,DC-ACS5-2,Ethernet100/1/6,Metadata Array,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
78,DC-ACS5-2,Ethernet100/1/7,msMBLp01 (sec),notconnect,730,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
79,DC-ACS5-2,Ethernet100/1/8,NXPHRU01,notconnect,831,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
80,DC-ACS5-2,Ethernet100/1/9,*** For single-homed servers ***,notconnect,898,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
81,DC-ACS5-2,Ethernet100/1/10,*** For single-homed servers ***,notconnect,898,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
82,DC-ACS5-2,Ethernet100/1/11,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
83,DC-ACS5-2,Ethernet100/1/12,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
84,DC-ACS5-2,Ethernet100/1/13,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
85,DC-ACS5-2,Ethernet100/1/14,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
86,DC-ACS5-2,Ethernet100/1/15,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
87,DC-ACS5-2,Ethernet100/1/16,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
88,DC-ACS5-2,Ethernet100/1/17,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
89,DC-ACS5-2,Ethernet100/1/18,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
90,DC-ACS5-2,Ethernet100/1/19,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
91,DC-ACS5-2,Ethernet100/1/20,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
92,DC-ACS5-2,Ethernet100/1/21,--,connected,205,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
93,DC-ACS5-2,Ethernet100/1/22,PPCDBU1,linkFlapErr,751,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
94,DC-ACS5-2,Ethernet100/1/23,NXINFP01,notconnect,821,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
95,DC-ACS5-2,Ethernet100/1/24,DD-ISILON-ACC1 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
96,DC-ACS5-2,Ethernet100/1/25,DD-ISILON-NODE1 NIC1,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
97,DC-ACS5-2,Ethernet100/1/26,DD-ISILON-NODE2 NIC1,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
