,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type,CDP_local_int,CDP_remote_device,CDP_remote_int,CDP_remote_platform,CDP_remote_capabilities,CDP_remote_ip,LLDP_local_port_id,LLDP_remote_chassis_id,LLDP_remote_port_id,LLDP_remote_port_description,LLDP_remote_system_name,LLDP_remote_system_description,LLDP_remote_system_capabilities,LLDP_remote_system_address,LLDP_remote_vlan_id
1,DC-ACS5-1,Ethernet1/1,--,connected,trunk,full,10G,SFP-H10GB-CU5M,Ethernet1/1,DC-ACS5-2,Ethernet1/1,N5K-C5548UP,Switch IGMP Filtering Supports-STP-Dispute,10.40.10.125,Ethernet1/1,547f.ee20.8b28,Eth1/1,Ethernet1/1,DC-ACS5-2,Cisco Nexus Operating System (NX-OS) Software,B,10.40.10.110,0
2,DC-ACS5-1,Ethernet1/2,--,connected,trunk,full,10G,SFP-H10GB-CU5M,Ethernet1/2,DC-ACS5-2,Ethernet1/2,N5K-C5548UP,Switch IGMP Filtering Supports-STP-Dispute,10.40.10.125,Ethernet1/2,547f.ee20.8b29,Eth1/2,Ethernet1/2,DC-ACS5-2,Cisco Nexus Operating System (NX-OS) Software,B,10.40.10.110,0
3,DC-ACS5-1,Ethernet1/3,Uplink to N7K,connected,trunk,full,10G,10Gbase-SR,Ethernet1/3,DC-DIST7-1,Ethernet9/17,N7K-C7010,Router Switch IGMP Filtering Supports-STP-Dispute,10.40.10.130,Ethernet1/3,30e4.dbf5.e2b4,Eth9/17,*** DC-ACS5-1 - Eth1/3,DC-DIST7-1.paramount.com,"Cisco NX-OS(tm) n7000, Software (n7000-s1-dk9), Version 6.2(10), RELEASE SOFTWARE Copyright (c) 2002-2013 by Cisco Systems, Inc","B, R",30e4.dbf5.e2b4,1
4,DC-ACS5-1,Ethernet1/4,Uplink to N7K,connected,trunk,full,10G,10Gbase-SR,Ethernet1/4,DC-DIST7-2,Ethernet9/19,N7K-C7010,Router Switch IGMP Filtering Supports-STP-Dispute,10.40.10.131,Ethernet1/4,ccef.4880.f1f2,Eth9/19,*** DC-ACS5-1 - Eth 1/4 ***,DC-DIST7-2,"Cisco NX-OS(tm) n7000, Software (n7000-s1-dk9), Version 6.2(10), RELEASE SOFTWARE Copyright (c) 2002-2013 by Cisco Systems, Inc","B, R",ccef.4880.f1f2,1
5,DC-ACS5-1,Ethernet1/5,Uplink to N7K,connected,trunk,full,10G,10Gbase-SR,Ethernet1/5,DC-DIST7-1,Ethernet3/2,N7K-C7010,Router Switch IGMP Filtering Supports-STP-Dispute,10.40.10.130,Ethernet1/5,c89c.1dd4.3b7d,Eth3/2,MARKED FOR MIGRATION PATH,DC-DIST7-1.paramount.com,"Cisco NX-OS(tm) n7000, Software (n7000-s1-dk9), Version 6.2(10), RELEASE SOFTWARE Copyright (c) 2002-2013 by Cisco Systems, Inc","B, R",c89c.1dd4.3b7d,1
6,DC-ACS5-1,Ethernet1/6,Uplink to N7K,connected,trunk,full,10G,10Gbase-SR,Ethernet1/6,DC-DIST7-1,Ethernet3/4,N7K-C7010,Router Switch IGMP Filtering Supports-STP-Dispute,10.40.10.130,Ethernet1/6,c89c.1dd4.3b7f,Eth3/4,MARKED FOR MIGRATION PATH,DC-DIST7-1.paramount.com,"Cisco NX-OS(tm) n7000, Software (n7000-s1-dk9), Version 6.2(10), RELEASE SOFTWARE Copyright (c) 2002-2013 by Cisco Systems, Inc","B, R",c89c.1dd4.3b7f,1
7,DC-ACS5-1,Ethernet1/7,--,connected,trunk,full,10G,10Gbase-SR,Ethernet1/7,BLU-AGG-SW1,TenGigabitEthernet1/1/1,WS-C3750X-24S,Switch IGMP Filtering ,,--,--,--,--,--,--,--,--,--
8,DC-ACS5-1,Ethernet1/8,BMS MARATHON SUBSTATION #1,notconnect,trunk,full,1000,SFP-1000BASE-LX,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,DC-ACS5-1,Ethernet1/9,MGMT to LA5 & LA6 via CIENA,connected,trunk,full,10G,10Gbase-LR,--,--,--,--,--,--,Ethernet1/9,9c7a.03de.8992,14/7,DC-ACS5-1_1/9-MultiaccessMGMT,"""la-os-04""",6500 Packet Optical Transport System\x07,B,172.26.60.4,0
10,DC-ACS5-1,Ethernet1/10,Avere - ReelFX,connected,27,full,10G,10Gbase-SR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,DC-ACS5-1,Ethernet1/11,--,connected,trunk,full,10G,10Gbase-SR,Ethernet1/11,ANI-POST-SW1,Ethernet1/50,N9K-C9348GC-F,Router Switch Supports-STP-Dispute,10.47.254.12,Ethernet1/11,3c51.0e12.9169,Ethernet1/50,***TO DC-ACS5-2_Eth1/11***,ANI-POST-SW1.paramount.com,Cisco Nexus Operating System (NX-OS) Software 9.3(12),"B, R",3c51.0e12.9169,1
12,DC-ACS5-1,Ethernet1/12,wwto-vfx,connected,725,full,10G,10Gbase-LR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,DC-ACS5-1,Ethernet1/13,to FEX1-1 Cab10-1,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,DC-ACS5-1,Ethernet1/14,to FEX2-1 Cab10-1,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,DC-ACS5-1,Ethernet1/15,to FEX1-2 Cab10-6,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,DC-ACS5-1,Ethernet1/16,to FEX2-2 Cab10-6,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,DC-ACS5-1,Ethernet1/17,to FEX1-3 Cab10-8,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,DC-ACS5-1,Ethernet1/18,to FEX2-3 Cab10-8,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,DC-ACS5-1,Ethernet1/19,***Reserved for Pure Storage***,connected,860,full,10G,10Gbase-SR,--,--,--,--,--,--,Ethernet1/19,24a9.3701.ce15,24a9.3701.ce18,eth2\udcc3,Purem50-west05-ct0,FlashArray FA-m50r2 Purem50-west05-ct0 202310050044+88bf191c53e4-65x\x07,"B, W, R, S",Unknown,0
20,DC-ACS5-1,Ethernet1/20,to FEX1-4 Rack 10-6,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,DC-ACS5-1,Ethernet1/21,to FEX2-4 Rack 10-6,notconnect,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,DC-ACS5-1,Ethernet1/22,FEX in Editorial N2KE-1,connected,1,full,10G,10Gbase-LR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
