,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type,CDP_local_int,CDP_remote_device,CDP_remote_int,CDP_remote_platform,CDP_remote_capabilities,CDP_remote_ip,LLDP_local_port_id,LLDP_remote_chassis_id,LLDP_remote_port_id,LLDP_remote_port_description,LLDP_remote_system_name,LLDP_remote_system_description,LLDP_remote_system_capabilities,LLDP_remote_system_address,LLDP_remote_vlan_id
23,DC-ACS5-1,Ethernet1/23,--,connected,trunk,full,10G,10Gbase-SR,--,--,--,--,--,--,Ethernet1/23,1c34.daa9.9f40,Eth1/14/1,,sn2100b,"MSN2100B,Onyx,SWv3.9.2110\x07","B, R",10.40.163.99,0
24,DC-ACS5-1,Ethernet1/24,--,connected,trunk,full,10G,10Gbase-SR,--,--,--,--,--,--,Ethernet1/24,ec0d.9afb.0980,Eth1/14/2,,sn2100a,"MSN2100B,Onyx,SWv3.9.2110\x07","B, R",10.40.163.98,0
25,DC-ACS5-1,Ethernet1/25,--,notconnect,500,full,10G,10Gbase-LR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,DC-ACS5-1,Ethernet1/26,--,sfpInvalid,500,full,10G,SFP-1000BASE-LX,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,DC-ACS5-1,Ethernet1/27,INC05505443,notconnect,471,full,1000,SFP-1000BASE-LX,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,DC-ACS5-1,Ethernet1/28,--,sfpAbsent,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,DC-ACS5-1,Ethernet1/29,to 1GFEX1-1 Cab9-4,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,DC-ACS5-1,Ethernet1/30,to 1GFEX1-1 Cab9-4,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,DC-ACS5-1,Ethernet1/31,to 10GFEX1-2 Cab9-4,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,DC-ACS5-1,Ethernet1/32,to 10GFEX1-2 Cab9-4,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,DC-ACS5-1,port-channel1,Cisco UCS lab ethernet uplinks,noOperMembers,1,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,DC-ACS5-1,port-channel5,*** Back-to-back vPC to DC-DIST7-1 & 2 ***,connected,trunk,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,DC-ACS5-1,port-channel10,*** VPC link to DC-ACS5-2 ***,connected,trunk,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,DC-ACS5-1,port-channel20,*** vPC to Digital Post ***,noOperMembers,1,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,DC-ACS5-1,port-channel21,Facility Automation Intermediary,noOperMembers,trunk,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,DC-ACS5-1,port-channel22,Port-channel 8 x 1G to SAPHVSQL Data,noOperMembers,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,DC-ACS5-1,port-channel23,FIDELISSENSORPARA1,noOperMembers,500,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,DC-ACS5-1,port-channel24,Port-channel 2 x 1G to SAPHVSQL-NEW Data,noOperMembers,821,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,DC-ACS5-1,port-channel25,Port-channel nxTSMp03,connected,821,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,DC-ACS5-1,port-channel31,Port-channel 4 x 1G backup to MSSQL7,noOperMembers,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,DC-ACS5-1,port-channel100,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,DC-ACS5-1,port-channel101,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,DC-ACS5-1,port-channel102,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,DC-ACS5-1,port-channel103,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,DC-ACS5-1,port-channel104,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,DC-ACS5-1,port-channel105,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,DC-ACS5-1,port-channel106,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,DC-ACS5-1,port-channel107,--,noOperMembers,1,auto,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,DC-ACS5-1,port-channel120,--,noOperMembers,1,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,DC-ACS5-1,port-channel122,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,DC-ACS5-1,port-channel123,--,noOperMembers,1,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,DC-ACS5-1,port-channel124,--,noOperMembers,1,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,DC-ACS5-1,port-channel125,--,noOperMembers,1,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,DC-ACS5-1,port-channel180,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,DC-ACS5-1,port-channel181,--,connected,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
58,DC-ACS5-1,port-channel190,--,noOperMembers,721,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
59,DC-ACS5-1,port-channel200,Qumulo-connection-LACP,connected,trunk,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
60,DC-ACS5-1,port-channel300,Qumulo-connection-LACP,noOperMembers,1,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
61,DC-ACS5-1,port-channel500,--,noOperMembers,51,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
62,DC-ACS5-1,port-channel501,--,noOperMembers,50,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
63,DC-ACS5-1,port-channel502,--,noOperMembers,50,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
64,DC-ACS5-1,port-channel503,--,noOperMembers,51,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
65,DC-ACS5-1,port-channel504,--,noOperMembers,860,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
66,DC-ACS5-1,port-channel505,--,noOperMembers,821,full,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
67,DC-ACS5-1,port-channel516,--,connected,860,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
68,DC-ACS5-1,port-channel517,--,connected,860,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
69,DC-ACS5-1,port-channel518,--,connected,860,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
70,DC-ACS5-1,port-channel1111,--,connected,trunk,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
71,DC-ACS5-1,mgmt0,--,connected,routed,full,1000,--,mgmt0,DC-DIST7-1,Ethernet7/16,N7K-C7010,Router Switch Supports-STP-Dispute,10.40.10.105,mgmt0,0024.98e8.1ed7,Eth7/16,DC-ACS5-1_MGMT0,DC-DIST7-1.paramount.com,"Cisco NX-OS(tm) n7000, Software (n7000-s1-dk9), Version 6.2(10), RELEASE SOFTWARE Copyright (c) 2002-2013 by Cisco Systems, Inc","B, R",0024.98e8.1ed7,0
72,DC-ACS5-1,Ethernet100/1/1,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
73,DC-ACS5-1,Ethernet100/1/2,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
74,DC-ACS5-1,Ethernet100/1/3,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
75,DC-ACS5-1,Ethernet100/1/4,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
76,DC-ACS5-1,Ethernet100/1/5,Metadata Array,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
77,DC-ACS5-1,Ethernet100/1/6,Metadata Array,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
78,DC-ACS5-1,Ethernet100/1/7,msMBLp01 (Heartbeat-Replication-NIC),notconnect,730,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
79,DC-ACS5-1,Ethernet100/1/8,NXPHRU01,notconnect,831,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
80,DC-ACS5-1,Ethernet100/1/9,*** For single-homed servers ***,notconnect,898,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
81,DC-ACS5-1,Ethernet100/1/10,*** For single-homed servers ***,notconnect,898,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
82,DC-ACS5-1,Ethernet100/1/11,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
83,DC-ACS5-1,Ethernet100/1/12,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
84,DC-ACS5-1,Ethernet100/1/13,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
85,DC-ACS5-1,Ethernet100/1/14,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
86,DC-ACS5-1,Ethernet100/1/15,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
87,DC-ACS5-1,Ethernet100/1/16,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
88,DC-ACS5-1,Ethernet100/1/17,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
89,DC-ACS5-1,Ethernet100/1/18,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
90,DC-ACS5-1,Ethernet100/1/19,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
91,DC-ACS5-1,Ethernet100/1/20,QL-US-LAQUM02 INC06169248,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
92,DC-ACS5-1,Ethernet100/1/21,--,connected,205,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
93,DC-ACS5-1,Ethernet100/1/22,PPCDBU1,notconnect,751,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
94,DC-ACS5-1,Ethernet100/1/23,NXINFP01,notconnect,821,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
95,DC-ACS5-1,Ethernet100/1/24,DD-ISILON-ACC1 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
96,DC-ACS5-1,Ethernet100/1/25,DD-ISILON-NODE1 NIC1,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
97,DC-ACS5-1,Ethernet100/1/26,DD-ISILON-NODE2 NIC1,connected,500,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
98,DC-ACS5-1,Ethernet100/1/27,DD-ISILON-NODE6 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
99,DC-ACS5-1,Ethernet100/1/28,DD-ISILON-NODE3 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100,DC-ACS5-1,Ethernet100/1/29,DD-ISILON-NODE4 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
101,DC-ACS5-1,Ethernet100/1/30,DD-ISILON-NODE5 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
102,DC-ACS5-1,Ethernet100/1/31,hxappd03,notconnect,831,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
103,DC-ACS5-1,Ethernet100/1/32,NXDTMP01 NIC-1,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
104,DC-ACS5-1,Ethernet100/1/33,NXDTMP01 NIC-2,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
105,DC-ACS5-1,Ethernet100/1/34,NXDTMP02 NIC-1,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
106,DC-ACS5-1,Ethernet100/1/35,NXDTMP02 NIC-2,notconnect,751,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
107,DC-ACS5-1,Ethernet100/1/36,PPCDBD1,notconnect,831,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
108,DC-ACS5-1,Ethernet100/1/37,NXPHRP01,notconnect,781,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
109,DC-ACS5-1,Ethernet100/1/38,VNX Mgmt 1,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
110,DC-ACS5-1,Ethernet100/1/39,VNX Mgmt 2,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
111,DC-ACS5-1,Ethernet100/1/40,BMSIFIXSCADA NIC2,notconnect,882,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
112,DC-ACS5-1,Ethernet100/1/41,DD-ISILON-NODE2 NIC2,notconnect,889,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
113,DC-ACS5-1,Ethernet100/1/42,DD-ISILON-NODE1 NIC2,notconnect,889,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
114,DC-ACS5-1,Ethernet100/1/43,DD-ISILON-ACC1 NIC2,notconnect,889,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
115,DC-ACS5-1,Ethernet100/1/44,BMSALCLONSQD NIC2,notconnect,882,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
116,DC-ACS5-1,Ethernet100/1/45,EMC-CENT-AN1,notconnect,686,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
117,DC-ACS5-1,Ethernet100/1/46,EMC-CENT-AN2,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
118,DC-ACS5-1,Ethernet100/1/47,EMC-CENT-AN3,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
119,DC-ACS5-1,Ethernet100/1/48,EMC-CENT-AN4,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
120,DC-ACS5-1,Ethernet101/1/1,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
121,DC-ACS5-1,Ethernet101/1/2,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
122,DC-ACS5-1,Ethernet101/1/3,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
123,DC-ACS5-1,Ethernet101/1/4,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
124,DC-ACS5-1,Ethernet101/1/5,PURE-STORAGE,connected,850,full,1000,--,--,--,--,--,--,--,Ethernet101/1/5,24a9.3705.68c9,0e08.70be.40c8,eth0,PureFA450-West01-ct1,FlashArray FA-X50R2 PureFA450-West01-ct1 202310050044+88bf191c53e4-65x,"B, W, R, S",Unknown,0
125,DC-ACS5-1,Ethernet101/1/6,PURE-STORAGE,connected,850,full,1000,--,--,--,--,--,--,--,Ethernet101/1/6,24a9.3705.6a3d,2231.ea1c.9e71,eth0,PureFA450-West01-ct0,FlashArray FA-X50R2 PureFA450-West01-ct0 202310050044+88bf191c53e4-65x,"B, W, R, S",Unknown,0
126,DC-ACS5-1,Ethernet101/1/7,*** For single-homed servers ***,notconnect,853,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
127,DC-ACS5-1,Ethernet101/1/8,*** For single-homed servers ***,notconnect,853,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
128,DC-ACS5-1,Ethernet101/1/9,*** For single-homed servers ***,connected,898,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
129,DC-ACS5-1,Ethernet101/1/10,*** For single-homed servers ***,connected,898,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
130,DC-ACS5-1,Ethernet101/1/11,--,connected,899,full,1000,--,--,--,--,--,--,--,Ethernet101/1/11,509a.4c48.37d2,509a.4c48.37d2,not advertised,not advertised,not advertised,not advertised,Unknown,0
131,DC-ACS5-1,Ethernet101/1/12,NXDTMP02 MGMT Port(0),notconnect,853,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
132,DC-ACS5-1,Ethernet101/1/13,DD-ISILON-NODE6 NIC2,notconnect,889,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
133,DC-ACS5-1,Ethernet101/1/14,BMSIFIXSCADA NIC4,notconnect,800,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
134,DC-ACS5-1,Ethernet101/1/15,--,connected,899,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
135,DC-ACS5-1,Ethernet101/1/16,Quantum Xcellis,unknown enum:<248>,899,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
136,DC-ACS5-1,Ethernet101/1/17,Quantum Xcellis,connected,899,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
137,DC-ACS5-1,Ethernet101/1/18,PURE-STORAGE,notconnect,850,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
138,DC-ACS5-1,Ethernet101/1/19,PURE-STORAGE,notconnect,850,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
139,DC-ACS5-1,Ethernet101/1/20,Screenlife CVA2 e1,notconnect,911,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
140,DC-ACS5-1,Ethernet101/1/21,DCX8518LAX01 mgmt standby,connected,811,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
141,DC-ACS5-1,Ethernet101/1/22,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
142,DC-ACS5-1,Ethernet101/1/23,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
143,DC-ACS5-1,Ethernet101/1/24,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
144,DC-ACS5-1,Ethernet101/1/25,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
145,DC-ACS5-1,Ethernet101/1/26,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
146,DC-ACS5-1,Ethernet101/1/27,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
147,DC-ACS5-1,Ethernet101/1/28,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
148,DC-ACS5-1,Ethernet101/1/29,Port-channel to SAPHVSQL Data,notconnect,791,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
