,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
1,DC-EDGE7-1,Ethernet1/25,DMZ CALAX04-EM1DS-01A Eth1/21,connected,trunk,full,10G,10Gbase-SR
2,DC-EDGE7-1,Ethernet1/26,DMZ CALAX04-EM1DS-01B Eth1/21,connected,trunk,full,10G,10Gbase-SR
3,DC-EDGE7-1,Ethernet1/27,--,sfpAbsent,routed,auto,auto,--
4,DC-EDGE7-1,Ethernet1/28,--,sfpAbsent,routed,auto,auto,--
5,DC-EDGE7-1,Ethernet1/29,--,sfpAbsent,routed,auto,auto,--
6,DC-EDGE7-1,Ethernet1/30,--,sfpAbsent,routed,auto,auto,--
7,DC-EDGE7-1,Ethernet1/31,--,sfpAbsent,routed,auto,auto,--
8,DC-EDGE7-1,Ethernet1/32,--,sfpAbsent,routed,auto,auto,--
9,DC-EDGE7-1,Ethernet2/1,INSIDE-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,10Gbase-SR
10,DC-EDGE7-1,Ethernet2/3,DO NOT USE,sfpAbsent,routed,auto,auto,--
11,DC-EDGE7-1,Ethernet2/5,DO NOT USE,sfpAbsent,routed,auto,auto,--
12,DC-EDGE7-1,Ethernet2/7,DO NOT USE,sfpAbsent,routed,auto,auto,--
13,DC-EDGE7-1,Ethernet2/9,DC-AIRCTRL01_PORT01,connected,trunk,full,10G,10Gbase-SR
14,DC-EDGE7-1,Ethernet2/10,CALA-MOB-NetScaler-DMZ-8-13-1_Eth10/3,connected,trunk,full,10G,10Gbase-SR
15,DC-EDGE7-1,Ethernet2/11,DC-AIRCTRL01_PORT02,connected,trunk,full,10G,10Gbase-SR
16,DC-EDGE7-1,Ethernet2/12,CALA-MOB-NetScaler-DMZ-8-13-1_Eth10/4,connected,trunk,full,10G,10Gbase-SR
17,DC-EDGE7-1,Ethernet2/13,--,sfpAbsent,routed,auto,auto,--
18,DC-EDGE7-1,Ethernet2/14,Downlink to TEMP-DREW-SW1 TE1/1/1,sfpAbsent,3340,auto,auto,--
19,DC-EDGE7-1,Ethernet2/15,--,sfpAbsent,routed,auto,auto,--
20,DC-EDGE7-1,Ethernet2/16,CALA-MOB-PPC-CORP-FW3-1:INSIDE,sfpAbsent,trunk,auto,auto,--
21,DC-EDGE7-1,Ethernet2/17,CALAX04-EM1DS-01B Eth1/1,connected,trunk,full,10G,10Gbase-SR
22,DC-EDGE7-1,Ethernet2/18,DMZ-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,10Gbase-SR
23,DC-EDGE7-1,Ethernet2/19,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
24,DC-EDGE7-1,Ethernet2/20,***Reserved per Greg's request***,sfpAbsent,routed,auto,auto,--
25,DC-EDGE7-1,Ethernet2/21,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
26,DC-EDGE7-1,Ethernet2/22,***Reserved per Greg's request***,sfpAbsent,routed,auto,auto,--
27,DC-EDGE7-1,Ethernet2/23,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
28,DC-EDGE7-1,Ethernet2/24,***Reserved per Greg's request***,sfpAbsent,routed,auto,auto,--
29,DC-EDGE7-1,Ethernet2/25,NEW Paramount DMZ WLC Data ports,connected,trunk,full,10G,10Gbase-SR
30,DC-EDGE7-1,Ethernet2/27,NEW Paramount DMZ WLC Data ports,connected,trunk,full,10G,10Gbase-SR
