,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
79,DC-EDGE7-2,Ethernet8/21,X-Connect to CALA-MOB-NCS5501-2 Te0/0/0/23,connected,routed,full,10G,10Gbase-SR
80,DC-EDGE7-2,Ethernet8/23,--,sfpAbsent,routed,auto,auto,--
81,DC-EDGE7-2,Ethernet8/25,DC-CORE7-2,connected,routed,full,10G,10Gbase-SR
82,DC-EDGE7-2,Ethernet8/26,DC-EDGE7-1:Eth8/26,connected,trunk,full,10G,10Gbase-SR
83,DC-EDGE7-2,Ethernet8/27,RESERVED_RATE-MODE_DEDICATED,sfpAbsent,routed,auto,auto,--
84,DC-EDGE7-2,Ethernet8/28,--,sfpAbsent,routed,auto,auto,--
85,DC-EDGE7-2,Ethernet8/29,RESERVED_RATE-MODE_DEDICATED,sfpAbsent,routed,auto,auto,--
86,DC-EDGE7-2,Ethernet8/30,--,sfpAbsent,routed,auto,auto,--
87,DC-EDGE7-2,Ethernet8/31,RESERVED_RATE-MODE_DEDICATED,sfpAbsent,routed,auto,auto,--
88,DC-EDGE7-2,Ethernet8/32,--,sfpAbsent,routed,auto,auto,--
89,DC-EDGE7-2,Ethernet10/17,***DONOT USE;PORT GROUP RESERVED FOR FW Uplink***,sfpAbsent,routed,auto,auto,--
90,DC-EDGE7-2,Ethernet10/18,FP-INSIDE:E10/18-E1/1,connected,trunk,full,10G,10Gbase-SR
91,DC-EDGE7-2,Ethernet10/19,DC-INTERNET-FW1 Te0/9 OUTSIDE/DMZ IFACE,connected,trunk,full,10G,10Gbase-SR
92,DC-EDGE7-2,Ethernet10/20,FP-OUTSIDE:E10/20:E1/5,connected,trunk,full,10G,10Gbase-SR
93,DC-EDGE7-2,Ethernet10/21,***DONOT USE;PORT GROUP RESERVED FOR FW Uplink***,sfpAbsent,routed,auto,auto,--
94,DC-EDGE7-2,Ethernet10/22,DC-INTERNET-FW11 Te0/8 INSIDE IFACE,connected,trunk,full,10G,10Gbase-SR
95,DC-EDGE7-2,Ethernet10/23,***DONOT USE;PORT GROUP RESERVED FOR FW Uplink***,sfpAbsent,routed,auto,auto,--
96,DC-EDGE7-2,Ethernet10/24,CALA-MOB-PPC-CORP-FW3-2:OUTSIDE,sfpAbsent,trunk,auto,auto,--
97,DC-EDGE7-2,port-channel1,uplink to DC-FW11-SUP,noOperMembers,trunk,auto,auto,--
98,DC-EDGE7-2,port-channel3,DC-AIRCTRL2,noOperMembers,trunk,auto,auto,--
99,DC-EDGE7-2,port-channel4,DC-DMZ-AIRCTRL1,noOperMembers,trunk,auto,auto,--
100,DC-EDGE7-2,port-channel5,DC-AIRCTRL3,noOperMembers,trunk,auto,auto,--
101,DC-EDGE7-2,port-channel10,To TEL-DIST7,connected,trunk,full,10G,--
102,DC-EDGE7-2,port-channel15,***PO to Leo Stream KVM HOST***,noOperMembers,trunk,auto,auto,--
103,DC-EDGE7-2,port-channel20,INSIDE-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,--
104,DC-EDGE7-2,port-channel21,DMZ-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,--
105,DC-EDGE7-2,port-channel22,OUTSIDE-CALA-MOB-PPC-CORP-FW2,noOperMembers,trunk,auto,auto,--
106,DC-EDGE7-2,port-channel25,MOB-MARKETING-VIDEO Sw in Transfer Room,noOperMembers,990,auto,auto,--
107,DC-EDGE7-2,port-channel27,Uplink DC-DIST2,disabled,trunk,auto,auto,--
108,DC-EDGE7-2,port-channel28,SDX2,noOperMembers,trunk,auto,auto,--
109,DC-EDGE7-2,port-channel30,--,connected,trunk,full,10G,--
110,DC-EDGE7-2,port-channel40,FP-INSIDE-FW,connected,trunk,full,10G,--
111,DC-EDGE7-2,port-channel42,FP-OUTSIDE-FW,connected,trunk,full,10G,--
112,DC-EDGE7-2,port-channel44,CALA-MOB-PPC-CORP-FW3-2:INSIDE,noOperMembers,trunk,auto,auto,--
113,DC-EDGE7-2,port-channel46,CALA-MOB-PPC-CORP-FW3-2:OUTSIDE,noOperMembers,trunk,auto,auto,--
114,DC-EDGE7-2,port-channel50,DC-EDGE7 Port-Channel,connected,trunk,full,10G,--
115,DC-EDGE7-2,port-channel402,CALAX04-EM1DS-01AB Po402,connected,trunk,full,10G,--
116,DC-EDGE7-2,port-channel405,DMZ CALAX04-EM1DS-01AB Po405,connected,trunk,full,10G,--
117,DC-EDGE7-2,port-channel911,DC-AIRCTRL02_5520,connected,trunk,full,10G,--
118,DC-EDGE7-2,port-channel2527,NEW Paramount DMZ WLC Data ports,connected,trunk,full,10G,--
119,DC-EDGE7-2,loopback0,--,connected,routed,auto,auto,--
120,DC-EDGE7-2,Vlan1,--,down,routed,auto,auto,--
121,DC-EDGE7-2,Vlan11,P2P VLAN to DC-EDGE7-1,connected,routed,auto,auto,--
122,DC-EDGE7-2,Vlan12,DC-INTERNET-FW-PPC INSIDE,connected,routed,auto,auto,--
123,DC-EDGE7-2,Vlan13,DC-INTERNET-FW-WWTO INSIDE,connected,routed,auto,auto,--
124,DC-EDGE7-2,Vlan14,DC-INTERNET-FW-ADMIN INSIDE,connected,routed,auto,auto,--
125,DC-EDGE7-2,Vlan16,DC-INTERNET-VPN-CORP INSIDE,connected,routed,auto,auto,--
126,DC-EDGE7-2,Vlan18,Websense 10k,connected,routed,auto,auto,--
127,DC-EDGE7-2,Vlan21,PPC Remote VPN,connected,routed,auto,auto,--
128,DC-EDGE7-2,Vlan22,VIA Remote VPN,connected,routed,auto,auto,--
129,DC-EDGE7-2,Vlan25,PPC Ironman-New,connected,routed,auto,auto,--
130,DC-EDGE7-2,Vlan61,CORPORATE WIRELESS,connected,routed,auto,auto,--
131,DC-EDGE7-2,Vlan84,LEGACY OUTSIDE,connected,routed,auto,auto,--
132,DC-EDGE7-2,Vlan201,WIRELESS MANAGEMENT,connected,routed,auto,auto,--
133,DC-EDGE7-2,Vlan413,Prisma PaloAlto VM,connected,routed,auto,auto,--
134,DC-EDGE7-2,Vlan615,CBS-INTERNAL,connected,routed,auto,auto,--
135,DC-EDGE7-2,Vlan620,--,connected,routed,auto,auto,--
136,DC-EDGE7-2,Vlan721,Animation Isilon,connected,routed,auto,auto,--
137,DC-EDGE7-2,Vlan750,CORPORATE WIRELESS-2,connected,routed,auto,auto,--
138,DC-EDGE7-2,Vlan850,ESXi,connected,routed,auto,auto,--
139,DC-EDGE7-2,Vlan884,--,down,routed,auto,auto,--
