,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
66,DC-ACS5-2,Ethernet102/1/9,SCreenlife 10.0.21.0 subnet,notconnect,900,auto,auto,--
67,DC-ACS5-2,Ethernet102/1/10,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
68,DC-ACS5-2,Ethernet102/1/11,SCreenlife 10.0.21.0 subnet,notconnect,900,auto,auto,--
69,DC-ACS5-2,Ethernet102/1/12,SCreenlife 10.0.21.0 subnet,notconnect,900,auto,auto,--
70,DC-ACS5-2,Ethernet102/1/13,PPC-Corp-Isilon01 #1 em0 TSK NOV26 2013,connected,500,full,1000,--
71,DC-ACS5-2,Ethernet102/1/14,PPC-Corp-Isilon01 #2 em0 TSK NOV26 2013,connected,500,full,1000,--
72,DC-ACS5-2,Ethernet102/1/15,PPC-Corp-Isilon01 #3 em0 TSK NOV26 2013,connected,500,full,1000,--
73,DC-ACS5-2,Ethernet102/1/16,PPC-Corp-Isilon01 #4 em0 TSK NOV26 2013,connected,500,full,1000,--
74,DC-ACS5-2,Ethernet102/1/17,PPC-Corp-Isilon01 #5 em0 TSK NOV26 2013,notconnect,500,auto,auto,--
75,DC-ACS5-2,Ethernet102/1/18,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
76,DC-ACS5-2,Ethernet102/1/19,P1 WebSense U6 11-03 TSK JAN 21 2013,notconnect,15,auto,auto,--
77,DC-ACS5-2,Ethernet102/1/20,C WebSense U6 11-03 TSK JAN 21 2013,notconnect,199,auto,auto,--
78,DC-ACS5-2,Ethernet102/1/21,ISCLSP01,notconnect,976,auto,auto,--
79,DC-ACS5-2,Ethernet102/1/22,msEVSp01,notconnect,976,auto,auto,--
80,DC-ACS5-2,Ethernet102/1/23,msEVSp02,notconnect,976,auto,auto,--
81,DC-ACS5-2,Ethernet102/1/24,Carbon Server (IAM),connected,976,full,1000,--
82,DC-ACS5-2,Ethernet102/1/25,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
83,DC-ACS5-2,Ethernet102/1/26,P1 WebSense 05 11-03 TSK NOV 11 2013,notconnect,884,auto,auto,--
84,DC-ACS5-2,Ethernet102/1/27,DD-ISILON-NODE4 NIC2,connected,500,full,1000,--
85,DC-ACS5-2,Ethernet102/1/28,DD-ISILON-NODE3 NIC2,connected,500,full,1000,--
86,DC-ACS5-2,Ethernet102/1/29,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
87,DC-ACS5-2,Ethernet102/1/30,msMBXp01 (sec),notconnect,730,auto,auto,--
88,DC-ACS5-2,Ethernet102/1/31,msMBXp03 (sec),notconnect,730,auto,auto,--
89,DC-ACS5-2,Ethernet102/1/32,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
90,DC-ACS5-2,Ethernet102/1/33,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
91,DC-ACS5-2,Ethernet102/1/34,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
92,DC-ACS5-2,Ethernet102/1/35,FIDELISSENSORPARA1-ILO,notconnect,500,auto,auto,--
93,DC-ACS5-2,Ethernet102/1/36,FIDELISSENSORPARA2-ILO,notconnect,500,auto,auto,--
94,DC-ACS5-2,Ethernet102/1/37,MSALSP43,inactive,850,full,auto,--
95,DC-ACS5-2,Ethernet102/1/38,MSALSP44,connected,899,full,1000,--
96,DC-ACS5-2,Ethernet102/1/39,INC05802231,connected,887,full,100,--
97,DC-ACS5-2,Ethernet102/1/40,INC05802231,connected,887,full,100,--
98,DC-ACS5-2,Ethernet102/1/41,INC05802231,connected,887,full,100,--
99,DC-ACS5-2,Ethernet102/1/42,INC05802231,connected,887,full,100,--
100,DC-ACS5-2,Ethernet102/1/43,INC05802231,connected,887,full,100,--
101,DC-ACS5-2,Ethernet102/1/44,MSCASP02,connected,847,full,100,--
102,DC-ACS5-2,Ethernet102/1/45,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
103,DC-ACS5-2,Ethernet102/1/46,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
104,DC-ACS5-2,Ethernet102/1/47,nxELMP02 NIC2 TSK SEP282012,connected,899,full,1000,--
105,DC-ACS5-2,Ethernet102/1/48,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
106,DC-ACS5-2,Ethernet103/1/1,nxSPLp02,connected,682,full,1000,--
107,DC-ACS5-2,Ethernet103/1/2,nxSPLp03,connected,682,full,1000,--
108,DC-ACS5-2,Ethernet103/1/3,INC05338933,notconnect,924,auto,auto,--
109,DC-ACS5-2,Ethernet103/1/4,INC05338933,notconnect,924,auto,auto,--
110,DC-ACS5-2,Ethernet103/1/5,msMBXp02 (sec),notconnect,730,auto,auto,--
111,DC-ACS5-2,Ethernet103/1/6,msMBXp04 (sec),notconnect,730,auto,auto,--
112,DC-ACS5-2,Ethernet103/1/7,INC05513328,connected,850,full,100,--
113,DC-ACS5-2,Ethernet103/1/8,INC05513328,connected,850,full,100,--
114,DC-ACS5-2,Ethernet103/1/9,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
115,DC-ACS5-2,Ethernet103/1/10,--,connected,821,full,1000,--
116,DC-ACS5-2,Ethernet103/1/11,--,connected,821,full,1000,--
117,DC-ACS5-2,Ethernet103/1/12,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
118,DC-ACS5-2,Ethernet103/1/13,INC05802231,connected,887,full,100,--
119,DC-ACS5-2,Ethernet103/1/14,INC05802231,connected,887,full,100,--
120,DC-ACS5-2,Ethernet103/1/15,INC05338933,notconnect,924,auto,auto,--
121,DC-ACS5-2,Ethernet103/1/16,INC05802231,connected,887,full,100,--
122,DC-ACS5-2,Ethernet103/1/17,tsNVRp02 nic2,notconnect,976,auto,auto,--
123,DC-ACS5-2,Ethernet103/1/18,tsNVRp03 nic2,notconnect,976,auto,auto,--
124,DC-ACS5-2,Ethernet103/1/19,Websense U7 C TSK MAY 20 2013,connected,67,full,100,--
125,DC-ACS5-2,Ethernet103/1/20,INC05802231,connected,887,full,100,--
126,DC-ACS5-2,Ethernet103/1/21,INC05338933,notconnect,924,auto,auto,--
127,DC-ACS5-2,Ethernet103/1/22,INC05802231,connected,887,full,100,--
128,DC-ACS5-2,Ethernet103/1/23,INC05802231,connected,887,full,100,--
129,DC-ACS5-2,Ethernet103/1/24,INC05802231,connected,887,full,100,--
130,DC-ACS5-2,Ethernet103/1/25,INC05802231,connected,887,full,100,--
131,DC-ACS5-2,Ethernet103/1/26,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
132,DC-ACS5-2,Ethernet103/1/27,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
133,DC-ACS5-2,Ethernet103/1/28,INC05802231,connected,887,full,100,--
134,DC-ACS5-2,Ethernet103/1/29,INC05802231,connected,887,full,100,--
135,DC-ACS5-2,Ethernet103/1/30,INC05802231,connected,887,full,100,--
136,DC-ACS5-2,Ethernet103/1/31,INC05802231,connected,887,full,100,--
137,DC-ACS5-2,Ethernet103/1/32,INC05802231,connected,887,full,100,--
138,DC-ACS5-2,Ethernet103/1/33,INC05802231,connected,887,full,100,--
139,DC-ACS5-2,Ethernet103/1/34,INC05802231,connected,887,full,100,--
140,DC-ACS5-2,Ethernet103/1/35,INC05939766,notconnect,860,auto,auto,--
141,DC-ACS5-2,Ethernet103/1/36,INC05939766,connected,860,full,1000,--
142,DC-ACS5-2,Ethernet103/1/37,--,notconnect,721,auto,auto,--
143,DC-ACS5-2,Ethernet103/1/38,nxNETp02,notconnect,721,auto,auto,--
144,DC-ACS5-2,Ethernet103/1/39,INC05939766,notconnect,860,auto,auto,--
145,DC-ACS5-2,Ethernet103/1/40,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
